Category,SRType
Waste,        - SW-Trash Can/Recycling Container Complaint
Waste,"    - SW-Public (Corner) Trash Can Request/Removal"""
Waste,       - SW-Municipal Trash Can Concern
Waste,       - SW-Recycling
Waste,       - SW-Residential Recycling Carts
Waste,        - SW-Bulk Scheduled
Waste,       - SW-Bulk Scheduled-Saturday
Waste,       - SW-Bulk Scheduled 
Waste,       - SW-Bulk Special
Waste,       - SW-Bag Pickup
Waste,        - SW-Mixed Refuse
Waste,        - SW-Dumpster Collection
Waste,        - SW-Fire Debris Removal
Waste,       - SW-Dirty Street
Waste,        - SW-Dirty Street Proactive
Waste,       - SW-Dirty Alley
Waste,       - SW-Dirty Alley Proactive
Waste,        - SW-Municipal Trash Can Stolen/Lost
Waste,        - SW-City Trash Can or Recycling Cart Concern
Waste,        - SW-City Trash Can or Recycling Cart Lost or Stolen
Waste,        - SW-Public (Corner) Trash Can Issue
Waste,        - SW-BCPSS Graffiti Removal
Waste,        - SW-Graffiti Removal - Rec and Parks
Waste,        - SW-Graffiti Removal
Waste,        - SW-Graffiti Removal Proactive
Waste,        - SW-Graffiti Removal-Owner's Request
Waste,        - SW-Leaf Collection Scheduling
Waste,        - SW-Leaf Removal
Waste,        - SW-Water Way Cleaning
Waste,        - SW-Mechanical Alley Sweeping
Waste,        - SW-Mechanical Street Sweeping
Waste,        - SW-SIU Clean Up
Waste,       - SW-Volunteer Clean-Up Event
Waste,        - SW-Clean Up (Mayor�s Fall Cleanup)
Waste,        - WW-Waterway Pollution Investigation
Waste,        - WW-Sewer Overflow
Waste,        - WW-Water Leak (Exterior)
Waste,       - WW-Hydrant Leaking
Waste,        - WW-Hydrant Damaged
Waste,        - WW-Storm Damaged Inlet
Waste,        - WW-Storm Flooded Street
Waste,        - WW-Sediment or Erosion Problem
Waste,        - WW-Water Noise In Pipe
Waste,        - SW-SIU Clean Up 
Waste,        - RP-Custodial Services
Waste,       - RP-Park Maintenance
Waste,        - RP-Building Maintenance
Waste,        - WW-Waterway Pollution Investigation
Waste,        - WW-Sewer Overflow
Waste,        - WW-Water Leak (Exterior)
Waste,        - WW-Hydrant Leaking
Waste,        - WW-Hydrant Damaged
Waste,        - WW-Storm Damaged Inlet
Waste,        - WW-Storm Flooded Street
Waste,       - WW-Sediment or Erosion Problem
Waste,       - WW-Water Noise In Pipe
Waste,        - SW-Trash Can/Recycling Container Complaint
Waste,        - SW-Public (Corner) Trash Can Request/Removal
Waste,        - SW-Mechanical Street Sweeping
Waste,       - SW-Mechanical Alley Sweeping
Waste,       - SW-Rat Rubout Follow-up
Waste,        - SW-Rat Rubout Alley Concern
Waste,        - SW-Rat Rubout Proactive
Waste,        - SW-Rat Rubout
Waste,        - SW-SIU Clean Up 
Waste,        - SW-SIU Clean Up
Waste,        - SW-Bulk Special
Waste,        - SW-Fire Debris Removal
Waste,        - SW-Dumpster Collection
Waste,        - SW-RP Bulk Pickup
Waste,        - SW-Bulk Scheduled-Saturday
Waste,        - SW-Bulk Scheduled
Waste,        - SW-Bulk Scheduled
Waste,        - SW-Recycling
Waste,        - SW-Leaf Collection Scheduling
Waste,        - SW-Leaf Removal
Waste,        - SW-Graffiti Removal-Owner's Request
Waste,        - SW-Graffiti Removal Proactive
Waste,        - SW-Graffiti Removal
Waste,        - SW-City Trash Can or Recycling Cart Concern
Waste,        - SW-City Trash Can or Recycling Cart Lost or Stolen
Waste,        - SW-City Trash Can or Recycling Cart Lost or Stolen
Waste,        - SW-City Trash Can or Recycling Cart Concern
Waste,        - SW-Bag Pickup
Waste,        - HCD-Illegal Dumping
Waste,        - WW-Waterway Pollution Investigation
Waste,        - WW-Sediment or Erosion Problem
Waste,        - WW-Water Odor/Bad Taste
Waste,        - WW-Hydrant Damaged
Waste,        - WW-Sewer Overflow
Waste,        - WW-Sewer Water In Basement
Waste,        - WW-Water Leak (Exterior)
Waste,        - WW-Storm Damaged Inlet
Waste,        - WW-Storm Flooded Street
Waste,        - WW-Water No Water
Waste,        - WW-Hydrant Leaking
Waste,        - WW-Water Low Pressure
Waste,        - SW-Dirty Alley
Waste,        - SW-Dirty Street
Waste,        - SW-Dirty Street Proactive
Waste,        - SW-Mixed Refuse
Waste,       - TRM-Debris Hanging From Wires or Poles
Waste,        - TRM-Debris In Roadway
Waste,"        - SW-Appliance"""
